STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,DASF,DASF_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/16/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",74,",,0",32,",,0",32,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/17/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",82,",,0",32,",,0",46,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/18/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",72,",,0",40,",,0",42,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/19/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",88,",,0",42,",,0",48,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/20/1970,,,,,,,,,0.49,",,0,0800",0,",,0,",0,",,0,",86,",,0",48,",,0",52,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/21/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",78,",,0",48,",,0",60,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/22/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",74,",,0",34,",,0",36,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/23/1970,,,,,,,,,0.02,",,0,0800",0,",,0,",0,",,0,",84,",,0",35,",,0",60,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/24/1970,,,,,,,,,0.55,",,0,0800",0,",,0,",0,",,0,",84,",,0",52,",,0",58,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/25/1970,,,,,,,,,0.25,",,0,0800",0,",,0,",0,",,0,",74,",,0",46,",,0",46,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/26/1970,,,,,,,,,0.26,",,0,0800",0,",,0,",0,",,0,",84,",,0",44,",,0",54,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/27/1970,,,,,,,,,0.11,",,0,0800",0,",,0,",0,",,0,",72,",,0",49,",,0",51,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/28/1970,,,,,,,,,1.3,",,0,0800",0,",,0,",0,",,0,",80,",,0",50,",,0",58,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/29/1970,,,,,,,,,1.1,",,0,0800",0,",,0,",0,",,0,",66,",,0",53,",,0",53,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,4/30/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",92,",,0",52,",,0",54,",,0,",,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/1/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/2/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/3/1970,,,,,,,,,0.14,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/4/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/5/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/6/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/7/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/8/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/9/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/10/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/11/1970,,,,,,,,,0.02,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/12/1970,,,,,,,,,0.15,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/13/1970,,,,,,,,,1.55,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/14/1970,,,,,,,,,0.01,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/15/1970,,,,,,,,,0.02,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/16/1970,,,,,,,,,0.01,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/17/1970,,,,,,,,,0.18,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/18/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/19/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/20/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/21/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/22/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/23/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/24/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/25/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/26/1970,,,,,,,,,0.45,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/27/1970,,,,,,,,,0.02,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/28/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/29/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/30/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,5/31/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/1/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/2/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/3/1970,,,,,,,,,0.3,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/4/1970,,,,,,,,,0.03,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/5/1970,,,,,,,,,0.28,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/6/1970,,,,,,,,,0.14,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/7/1970,,,,,,,,,0,"T,,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/8/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/9/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/10/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/11/1970,,,,,,,,,0.22,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/12/1970,,,,,,,,,0.17,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/13/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/14/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/15/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/16/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/17/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,6/18/1970,,,,,,,,,0,",,0,0800",0,",,0,",0,",,0,",,,,,,,,,,,,,,,,
